goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  401640	      2990 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  398126	      3001 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  404808	      2951 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  412388	      3013 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  402466	      3022 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  406044	      2979 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  402662	      2984 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  410292	      3004 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  399330	      3020 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16       	  404168	      2964 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  392389	      3034 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  396705	      3012 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  400748	      3043 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  397724	      3028 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  396165	      3071 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  394819	      3003 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  397904	      3053 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  396909	      3006 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  401539	      2994 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16       	  393610	      3106 ns/op	       0 B/op	       0 allocs/op
