BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                                	    5864	    195886 ns/op	   13816 B/op	       8 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                                	    5800	    196440 ns/op	   13816 B/op	       8 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                                	    6056	    193956 ns/op	   13816 B/op	       8 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                                	    6052	    190738 ns/op	   13816 B/op	       8 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                               	    5536	    196809 ns/op	   21544 B/op	      22 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                               	    5612	    201602 ns/op	   21544 B/op	      22 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                               	    5422	    197106 ns/op	   21544 B/op	      22 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                               	    5559	    196427 ns/op	   21544 B/op	      22 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                               	    5824	    198073 ns/op	   21544 B/op	      22 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                     	  401680	      2912 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                     	  394096	      2932 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                     	  405009	      2993 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                     	  382594	      2967 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                     	  402992	      2942 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12            	  182934	      6337 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12            	  186303	      6419 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12            	  178674	      6415 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12            	  174478	      6347 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12            	  186574	      6424 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12           	  162823	      7286 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12           	  161610	      7366 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12           	  157068	      7260 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12           	  160592	      7218 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12           	  164281	      7344 ns/op	    3136 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12                    	   54841	     20753 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12                    	   58987	     20675 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12                    	   56762	     20782 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12                    	   56275	     20983 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12                    	   56731	     20940 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12           	   27895	     42972 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12           	   27258	     42319 ns/op	    1688 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12           	   28250	     43761 ns/op	    1688 B/op	       5 allocs/op
