step,ing_min,ing_max,ing_mean,ing_p99,ing_stddev,ing_max_mean,qry_min,qry_max,qry_mean,qry_p99,qry_stddev,qry_max_mean,ing_moves,qry_moves,ing_churn,catchup_count,catchup_load
54,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
55,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
56,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
57,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
58,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
59,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
60,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
61,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
62,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
63,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
64,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
65,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
66,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
67,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
68,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
69,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
70,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
71,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
72,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
73,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
74,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
75,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
76,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
77,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
78,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
79,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
80,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
81,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
82,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
83,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
84,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
85,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
86,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
87,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
88,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
89,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
90,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
91,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
92,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
93,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
94,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
95,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
96,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
97,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
98,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
99,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
100,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
101,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
